"";"Start";"End";"Summary";"Description";"Year";"Month";"Hours";"Pedagogical.Activity"
"1";2019-11-20 08:00:00;2019-11-20 17:00:00;"visite ofqj à valider";"via johan claire
200 personnes 
en lien avec google ? + sem d'innovation";"2019";"Nov";9;""
"2";2019-11-19 08:00:00;2019-11-19 17:00:00;"visite ofqj à valider";"via johan claire
200 personnes 
en lien avec google ? + sem d'innovation";"2019";"Nov";9;""
"3";2019-07-29 02:00:00;2019-08-22 02:00:00;"fermeture gsi et lf2l";NA;"2019";"Jul";576;""
"4";2019-07-24 02:00:00;2019-07-25 02:00:00;"présence gd au lf2l";NA;"2019";"Jul";24;""
"5";2019-07-10 02:00:00;2019-07-11 02:00:00;"présence gd au lf2l";NA;"2019";"Jul";24;""
"6";2019-07-08 13:30:00;2019-07-08 17:30:00;"réunion labo + séminaire doctorants";"la travée ""espace collaboratif"" pour les dates suivantes : 
- 01/04/2019 : de 13h30 à 17h00 (réunion labo) 
- 06/05/2019 : de 13h30 à 18h00 (réunion labo + séminaire masters) 
- 03/06/2019 : de 14h00 à 17h00 (réunion labo) à confirmer ? 
- 08/07/2019 : de 13h30 à 17h30 (réunion labo + séminaire doctorants) 
";"2019";"Jul";4;""
"7";2019-06-27 08:45:00;2019-06-27 18:15:00;"360 possibles innovons ensemble (nomad'lab)";NA;"2019";"Jun";9.5;""
"8";2019-06-26 02:00:00;2019-06-27 02:00:00;"présence gd au lf2l";NA;"2019";"Jun";24;""
"9";2019-06-12 16:00:00;2019-06-12 18:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24h avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"Jun";2;"ENSGSI"
"10";2019-06-12 02:00:00;2019-06-13 02:00:00;"présence gd au lf2l";NA;"2019";"Jun";24;""
"11";2019-06-03 14:00:00;2019-06-03 17:00:00;"réunion labo erpi";"la travée ""espace collaboratif"" pour les dates suivantes : 
- 01/04/2019 : de 13h30 à 17h00 (réunion labo) 
- 06/05/2019 : de 13h30 à 18h00 (réunion labo + séminaire masters) 
- 03/06/2019 : de 14h00 à 17h00 (réunion labo) à confirmer ? 
- 08/07/2019 : de 13h30 à 17h30 (réunion labo + séminaire doctorants) 
";"2019";"Jun";3;""
"12";2019-05-29 09:15:00;2019-05-29 17:00:00;"montage foire";NA;"2019";"May";7.75;""
"13";2019-05-29 02:00:00;2019-05-30 02:00:00;"présence gd au lf2l";NA;"2019";"May";24;""
"14";2019-05-28 09:15:00;2019-05-28 17:00:00;"montage foire";NA;"2019";"May";7.75;""
"15";2019-05-27 09:15:00;2019-05-27 17:00:00;"montage foire";NA;"2019";"May";7.75;""
"16";2019-05-24 10:00:00;2019-05-24 12:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24h avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"May";2;"ENSGSI"
"17";2019-05-15 02:00:00;2019-05-16 02:00:00;"présence gd au lf2l";NA;"2019";"May";24;""
"18";2019-05-13 02:00:00;2019-05-17 02:00:00;"iamot 2019 ???";NA;"2019";"May";96;""
"19";2019-05-09 14:00:00;2019-05-09 16:00:00;"réunion gordon müller-seitz et ronja schlemminger";"bonjour benjamin, 

avec mauricio, nous avons rencontré récemment le professeur gordon müller-seitz de l'université de kaiserslautern. 

il doit venir à nancy le 9 mai prochain (oui, je sais.... je m'y rends à l'avance! ^^) avec une de ces collègues ronja schlemminger, et nous aurions aimé lui faire visiter le lf2l. 
pourrait-on réserver l'espace à cette date idéalement pour une visite le matin (entre 10h et 12h) et pour une réunion l'après-midi (14h-16h environ)? 

johan, davy, laurent dupont et éventuellement laurent müller se joindront à nous pour cette rencontre l'après-midi. on sera donc 7 ou 8 personnes. 
vu avec laurent, il est au courant. 

a ta disposition pour plus d'info si besoin. 
merci beaucoup 

manon 

";"2019";"May";2;""
"20";2019-05-09 10:00:00;2019-05-09 12:00:00;"visite lf2l gordon müller-seitz et ronja schlemminger";"bonjour benjamin, 

avec mauricio, nous avons rencontré récemment le professeur gordon müller-seitz de l'université de kaiserslautern. 

il doit venir à nancy le 9 mai prochain (oui, je sais.... je m'y rends à l'avance! ^^) avec une de ces collègues ronja schlemminger, et nous aurions aimé lui faire visiter le lf2l. 
pourrait-on réserver l'espace à cette date idéalement pour une visite le matin (entre 10h et 12h) et pour une réunion l'après-midi (14h-16h environ)? 

johan, davy, laurent dupont et éventuellement laurent müller se joindront à nous pour cette rencontre l'après-midi. on sera donc 7 ou 8 personnes. 
vu avec laurent, il est au courant. 

a ta disposition pour plus d'info si besoin. 
merci beaucoup 

manon 

";"2019";"May";2;""
"21";2019-05-07 14:00:00;2019-05-07 17:15:00;"empp - heure à vadiler";"présentation du lf2l en 30 min (laurent)  + mise à dispo de toute la plate-forme";"2019";"May";3.25;""
"22";2019-05-06 13:30:00;2019-05-06 18:00:00;"réunion labo + séminaire masters";"la travée ""espace collaboratif"" pour les dates suivantes : 
- 01/04/2019 : de 13h30 à 17h00 (réunion labo) 
- 06/05/2019 : de 13h30 à 18h00 (réunion labo + séminaire masters) 
- 03/06/2019 : de 14h00 à 17h00 (réunion labo) à confirmer ? 
- 08/07/2019 : de 13h30 à 17h30 (réunion labo + séminaire doctorants) 
";"2019";"May";4.5;""
"23";2019-05-01 02:00:00;2019-05-02 02:00:00;"présence gd au lf2l";NA;"2019";"May";24;""
"24";2019-04-24 15:00:00;2019-04-24 17:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24 avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"Apr";2;"ENSGSI"
"25";2019-04-24 13:30:00;2019-04-24 17:00:00;"visite gp 2ai projet manège";"visite du lf2l par les enfants de l'école élémentaire paul levy dans le cadre du projet du groupe 2ai projet manège. 

visite et séance de créativité des scolaires 
25 enfants, 5 étudiants et 5 accompagnateurs 
";"2019";"Apr";3.5;"ENSGSI"
"26";2019-04-17 02:00:00;2019-04-18 02:00:00;"présence gd au lf2l";NA;"2019";"Apr";24;""
"27";2019-04-15 02:00:00;2019-04-20 02:00:00;"gsi fermé";NA;"2019";"Apr";120;""
"28";2019-04-05 13:30:00;2019-04-05 17:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Apr";3.5;"ENSGSI"
"29";2019-04-05 10:00:00;2019-04-05 12:00:00;"gp 2ai actibac";"bonjour, nous aurions aimé réserver une place au lf2l pour nos rendez-vous avec m.bachmann dans le cadre de notre projet. 
nous aurions besoin d'un espace le 

1er mars de 10 à 12h, 
le 22 mars 10h à 12h, 
le 5 avril 10h à 12h, 
le 24 avril à 15h à 17h, 
le 24 mai 10h à 12h, 
le 12 juin 16h à 18h. 

pour ces rendez-vous nous aurions besoin d'un vidéoprojecteur. 

cordialement 

le groupe actibac 
";"2019";"Apr";2;"ENSGSI"
"30";2019-04-05 09:00:00;2019-04-05 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Apr";3;"ENSGSI"
"31";2019-04-03 13:30:00;2019-04-03 17:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Apr";3.5;"ENSGSI"
"32";2019-04-03 09:00:00;2019-04-03 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Apr";3;"ENSGSI"
"33";2019-04-03 02:00:00;2019-04-04 02:00:00;"présence gd au lf2l";NA;"2019";"Apr";24;""
"34";2019-04-01 13:30:00;2019-04-01 17:00:00;"réunion de laboratoire erpi";"travée ""espace collaboratif"" pour les dates suivantes : 
- 01/04/2019 : de 13h30 à 17h00 (réunion labo) 
- 06/05/2019 : de 13h30 à 18h00 (réunion labo + séminaire masters) 
- 03/06/2019 : de 14h00 à 17h00 (réunion labo) à confirmer ? 
- 08/07/2019 : de 13h30 à 17h30 (réunion labo + séminaire doctorants) 

";"2019";"Apr";3.5;""
"35";2019-04-01 02:00:00;2019-04-06 02:00:00;"stg3e leclair";"
bonjour, 

je reviens vers vous concernant la demande de mon fils qui souhaiterait effectuer son stage de 3eme dans votre fablab ; 
celui-ci est relancé par ses professeurs et il est sincèrement motivé pour découvrir votre environnement afin de se tourner vers les sciences de l’ingénieur ; 
vous remerciant de votre retour, 
je vous souhaite de belles fêtes de fin d’année, 
bien cordialement, 



fils de michaël leclair 
directeur 
entreprise adaptée-esat-savs 54 


dates du 1 er avril au 5 avril 2019 . 
";"2019";"Apr";120;""
"36";2019-04-01 02:00:00;2019-04-06 02:00:00;"stg3e regoli enzo";"bonjour enzo, 
nous donnons une suite favorable à ta demande de stage de découverte au laboratoire erpi - lf2l. 
je mets en copie les personnes qui t'accueilleront et s'occuperont de toi en avril prochain. 
bonne continuation, 
bien cordialement 

julie creusat 
secrétaire générale de l'ensgsi 
ecole nationale supérieure de génie des systèmes et de l'innovation 
8 rue bastien lepage - b.p. 90647 - 54010 nancy cedex 
ligne directe : 03 72 74 35 02 
portable : 06 08 36 59 46 
julie.creusat@univ-lorraine.fr 
[ http://www.ensgsi.univ-lorraine.fr/ | www.ensgsi.univ-lorraine.fr ] 
";"2019";"Apr";120;""
"37";2019-03-27 09:00:00;2019-03-27 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3;"ENSGSI"
"38";2019-03-26 09:00:00;2019-03-26 12:00:00;"fablab - master m1";"j'ai besoin de réserver le fablab pour un module de master m1 (12 étudiants), voici les dates : 

mardi 08/01/2019 09h00 - 12h00 
mardi 29/01 09h00-12h00 et 13h30 - 16h30 
mardi 05/02 09h00 - 12h00 
mardi 12/02 09h00 - 12h00 
mardi 26/02 09h00 - 12h00 
mardi 05/03 09h00 - 12h00 
mardi 12/03 09h00 - 12h00 
mardi 19/03 09h00 - 12h00 
mardi 26/03 09h00 - 12h00 
";"2019";"Mar";3;""
"39";2019-03-25 13:30:00;2019-03-25 17:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3.5;"ENSGSI"
"40";2019-03-25 09:00:00;2019-03-25 12:00:00;"ci3";"pour obtenir ta confirmation stp : 
réservation du fablab pour curs de ci3 en 1 ai les jours suivants : 
- 15 mars 8h-12h 
- 18 mars 8h-12h 
- 20 mars 8h12h 
- 25 mars 8h 12h 13h30-17h30 
- 27 mars 8h12h 
- 3 avril journée 
- 5 avril journée 
";"2019";"Mar";3;"ENSGSI"
